ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Daredevil Vol 1 33;Main Series;Behold... The Beetle!;;;1967-10;1967-08-08;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Beetle (Abner Jenkins) 🢒 | Whitey (First appearance);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 34;Main Series;To Squash a Beetle!;;;1967-11;1967-09-07;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Beetle (Abner Jenkins) 🢒 | Whitey;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 35;Main Series;Daredevil Dies First!;;;1967-12;1967-10-10;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Trapster 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 36;Main Series;The Name of the Game Is Mayhem!;;;1968-01;1967-11-09;Stan Lee;Gene Colan;🢐 Daredevil 🢒;🢐 Dr. Doom 🢒 | 🢐 Trapster 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 37;Main Series;Don't Look Now, But It's-- Dr. Doom!;;;1968-02;1967-12-12;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒;
Daredevil Vol 1 38;Main Series;The Living Prison!;;;1968-03;1968-01-09;Stan Lee;Gene Colan;"🢐 Doctor Doom (Matt Murdock/""Victor von Doom"") 🢒";"🢐 Daredevil (Victor von Doom/""Matt Murdock"") 🢒";🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 39;Main Series;The Exterminator and the Super-Powered Unholy Three;;;1968-04;1968-02-08;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Exterminator 🢒 (First appearance) | Unholy Three | 🢐 Ape-Man 🢒 | 🢐 Bird-Man 🢒 | 🢐 Cat-Man 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 40;Main Series;The Fallen Hero!;;;1968-05;1968-03-07;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Unholy Three | 🢐 Ape-Man (Gordon Keefer) 🢒 | 🢐 Bird-Man (Henry Hawk) 🢒 | 🢐 Cat-Man (Townshend Horgan) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 41;Main Series;The Death of Mike Murdock!;;;1968-06;1968-04-09;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Exterminator (Phillip Sterling) 🢒 (Apparent death) | Unholy Three | 🢐 Ape-Man (Gordon Keefer) 🢒 | 🢐 Bird-Man (Henry Hawk) 🢒 | 🢐 Cat-Man (Townshend Horgan) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 42;Main Series;Nobody Laughs at the Jester!;;;1968-07;1968-05-09;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Jester (Jonathan Powers) 🢒 (First appearance) | Richard Raleigh (Apparent death);🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 43;Main Series;In Combat With Captain America!;;;1968-08;1968-06-11;Stan Lee;Gene Colan;🢐 Daredevil 🢒;Jester (Only in flashback);🢐 Captain America 🢒 | 🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 (Main story and flashback) | Karen Page (Only in flashback) | 🢐 Debbie Harris 🢒 (Cameo)
Daredevil Vol 1 44;Main Series;I, Murderer!;;;1968-09;1968-07-16;Stan Lee;Gene Colan;🢐 Daredevil 🢒;🢐 Jester 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 45;Main Series;The Dismal Dregs of Defeat!;;;1968-10;1968-08-13;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Jester (Jonathan Powers) 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 46;Main Series;..The Final Jest!;;;1968-11;1968-09-10;Stan Lee;Gene Colan;🢐 Daredevil 🢒 (Impersonates Jester);🢐 Jester 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 47;Main Series;Brother, Take My Hand!;;;1968-12;1968-10-10;Stan Lee;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Biggie Benson 🢒 (First appearance);Willie Lincoln 🢒 (First appearance)
Daredevil Vol 1 48;Main Series;Farewell to Foggy!;;;1969-01;1968-11-12;Stan Lee;Gene Colan;🢐 Daredevil 🢒;🢐 Charlie | 🢐 Stilt-Man 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 49;Main Series;Daredevil Drops Out;;;1969-02;1968-12-12;Stan Lee;Gene Colan;🢐 Daredevil 🢒;;🢐 Willie Lincoln 🢒
Daredevil Vol 1 50;Main Series;If in Battle I Fall---!;;;1969-03;1969-01-09;Stan Lee;Barry Smith;🢐 Daredevil 🢒;🢐 Starr Saxon 🢒 | 🢐 Saxon's Plastoid 🢒;🢐 Nelson and Murdock 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Karen Page 🢒
Daredevil Vol 1 51;Main Series;Run, Murdock, Run!;;;1969-04;1969-02-11;Roy Thomas;Barry Smith;🢐 Daredevil (Matt Murdock) 🢒;🢐 Starr Saxon 🢒 | 🢐 Saxon's Plastoid;🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 52;Main Series;The Night of the Panther!;;;1969-05;1969-03-11;Roy Thomas;Barry Smith;🢐 Daredevil (Matt Murdock) 🢒;🢐 Starr Saxon 🢒;🢐 Black Panther (T'Challa) 🢒 | 🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 53;Main Series;As It Was in the Beginning...;;;1969-06;1969-04-10;Stan Lee | Roy Thomas;Gene Colan;🢐 Daredevil 🢒 (Main story and flashback);Fixer (Only in flashback) | Porky (Only in flashback) | Sam (Only in flashback) | Slade (Only in flashback) | 🢐 Starr Saxon 🢒 (Behind the scenes);Foggy Nelson (Only in flashback) | Karen Page (Only in flashback) | Battlin' Jack Murdock (Main story and flashback) (Death)
Daredevil Vol 1 54;Main Series;Call Him... Fear!;;;1969-07;;Roy Thomas;Gene Colan;🢐 Daredevil 🢒;🢐 Mister Fear (Starr Saxon) 🢒 (First appearance as Mister Fear) (Impersonates Mr. Fear);🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 55;Main Series;Cry Coward!;;;1969-08;;Roy Thomas;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Big Pete (First appearance) | 🢐 Starr Saxon 🢒 (Impersonates Mr. Fear);🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒
Daredevil Vol 1 56;Main Series;... And Death Came Riding!;;;1969-09;;Roy Thomas;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;Death's Head (Paxton Page) 🢒 (First appearance);🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Debbie Harris 🢒
Daredevil Vol 1 57;Main Series;In the Midst of Life...!;;;1969-10;;Roy Thomas;Gene Colan;🢐 Daredevil (Matt Murdock) 🢒;🢐 Death's Head (Paxton Page) (Death);🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Willie Lincoln 🢒
Daredevil Vol 1 58;Main Series;Spin-Out on Fifth Avenue!;;;1969-11;;Roy Thomas;Gene Colan;🢐 Daredevil 🢒;Stunt-Master 🢒 (First appearance);🢐 Karen Page 🢒 | 🢐 Foggy Nelson 🢒 | 🢐 Willie Lincoln 🢒
