ISSUE;TYPE;STORY TITLE;STORYLINE;EVENT;COVER DATE;RELEASE DATE;WRITER;PENCILER;MAIN CHARACTERS;ANTAGONISTS;SUPPORTING CHARACTERS
Fantastic Four Vol 1 233;Main Series;Mission for a Dead Man!;;;1981-08;1981-05-19;John Byrne;John Byrne;🢐 Human Torch 🢒 (Appears in flashback);Maggia | 🢐 Hammerhead 🢒 | Morrie (First and only known appearance);🢐 Father Albert Vito 🢒 | 🢐 Fantastic Four 🢒 | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒
Fantastic Four Vol 1 234;Main Series;The Man with the Power!;;;1981-09;1981-06-16;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Ego 🢒;Skip Collins (First and only known appearance) | Mick Clancy | 🢐 Frankie Raye 🢒
Fantastic Four Annual Vol 1 16;Special;The Coming of... the Dragon Lord!;;;1981-10;1981-06-23;Ed Hannigan;Steve Ditko;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Woman 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Skagerackrakor (First and only known appearance, dies) | Dragon Riders (First and only known appearance) | Zworill | Lalique (First and only known appearance);🢐 Franklin Richards 🢒 | 🢐 Dragon Man 🢒 | Ral Dorn (First and only known appearance)
Fantastic Four Vol 1 235;Main Series;Four Against Ego!;;;1981-10;1981-07-21;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Ego the Living Planet 🢒 | Ego's Anti-bodies;🢐 Frankie Raye 🢒
Fantastic Four Vol 1 236;Main Series;Terror in a Tiny Town;;;1981-11;1981-08-18;John Byrne;John Byrne;Fantastic Four | 🢐 Reed Richards 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 The Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Doctor Doom (Victor von Doom) 🢒 | 🢐 Phillip Masters 🢒 | Guardian Robots;🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒
Fantastic Four Vol 1 237;Main Series;The Eyes Have It!;;;1981-12;1981-09-15;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;Spinnerette (Solon-Stabilizer) (First and only known appearance);🢐 Franklin Richards 🢒 | 🢐 Alicia Masters 🢒 | 🢐 Frankie Raye 🢒 | Juliette D'Angelo 🢒 (First appearance) | 🢐 Doctor Doom 🢒
Fantastic Four Vol 1 238;Main Series;The Lady Is for Burning!;;;1982-01;1981-10-20;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 The Thing 🢒;;🢐 Frankie Raye 🢒 (Origin revealed)
Fantastic Four Vol 1 239;Main Series;Wendy's Friends;;;1982-02;1981-11-17;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Sue Storm Richards) 🢒 | 🢐 The Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;Wendy's Friends (First appearance);🢐 Frankie Raye 🢒 | 🢐 Alicia Masters 🢒 | 🢐 Jacob Grimm 🢒 | 🢐 Petunia Grimm 🢒
Fantastic Four Vol 1 240;Main Series;Exodus;;;1982-03;1981-12-15;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Woman 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;Enclave (Main story and flashback) | 🢐 Maximus 🢒 (Main story and flashback);🢐 Quicksilver 🢒 | 🢐 Frankie Raye 🢒 | House of Agon | 🢐 Black Bolt 🢒 (Appears in flashback) (Possessed by 🢐 Maximus 🢒) | 🢐 Medusa 🢒 (Appears in flashback) | Crystal | 🢐 Triton 🢒 | 🢐 Gorgon 🢒 (Appears in flashback) | 🢐 Karnak 🢒 (Appears in flashback) | 🢐 Lockjaw 🢒 | Crystal and Pietro's unnamed daughter 🢒 (First appearance) | 🢐 The Watcher 🢒
Fantastic Four Vol 1 241;Main Series;Render Unto Caesar!;;;1982-04;1982-01-19;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 The Thing 🢒 | 🢐 Human Torch 🢒;Emperor Gaius Tiberius (First and only known appearance, dies) | An alien of an unidentified species  (Only in flashback);🢐 Nova 🢒 | 🢐 Black Panther (T'Challa) 🢒
Fantastic Four Vol 1 242;Main Series;Terrax the Untamed;;;1982-05;1982-02-16;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Storm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 Thing (Ben Grimm) 🢒;🢐 Terrax (Tyros) 🢒 | Roach (First appearance);🢐 Frankie Raye 🢒 | 🢐 Alicia Masters 🢒 | 🢐 Thor 🢒 | 🢐 Iron Man (Tony Stark) 🢒
Fantastic Four Vol 1 243;Main Series;Shall Earth Endure?;;;1982-06;1982-03-09;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Galactus 🢒 | 🢐 Terrax 🢒;🢐 Frankie Raye 🢒 | Avengers | 🢐 Thor 🢒 | 🢐 Iron Man 🢒 | 🢐 Captain America 🢒 | 🢐 Wasp 🢒 | 🢐 Doctor Strange 🢒
Fantastic Four Vol 1 244;Main Series;Beginnings and Endings;;;1982-07;1982-04-13;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;🢐 Galactus 🢒;🢐 Julie D'Angelo 🢒 | Avengers | 🢐 Iron Man 🢒 | 🢐 Captain America 🢒 | 🢐 Thor 🢒 | 🢐 Wasp 🢒 | 🢐 Doctor Strange 🢒 | 🢐 Nova 🢒 | 🢐 Walter Collins | 🢐 Franklin Richards 🢒 | 🢐 H.U.B.E.R.T. 🢒 (Destroyed)
Fantastic Four Vol 1 245;Main Series;Childhood's End;;;1982-08;1982-05-18;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒 | 🢐 The Thing (Ben Grimm) 🢒;Avatar 🢒 (First appearance);🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒
Fantastic Four Vol 1 246;Main Series;Too Many Dooms;;;1982-09;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;🢐 Puppet Master 🢒 | 🢐 Doctor Doom 🢒 | Doombot;🢐 Alicia Masters 🢒
Fantastic Four Vol 1 247;Main Series;This Land Is Mine!;;;1982-10;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic (Reed Richards) 🢒 | 🢐 Invisible Girl (Susan Richards) 🢒 | 🢐 Thing (Ben Grimm) 🢒 | 🢐 Human Torch (Johnny Storm) 🢒;🢐 Zorba Fortunov (Apparent death) | 🢐 Doctor Doom (Victor von Doom) 🢒 | 🢐 Servo-Guards 🢒 | 🢐 Killer Robots 🢒;🢐 Boris 🢒
Fantastic Four Vol 1 248;Main Series;Nightmare!;;;1982-11;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 Thing 🢒;The Temple of Nightmares;Inhumans | House of Agon | 🢐 Black Bolt 🢒 | 🢐 Trition 🢒 | 🢐 Gorgon 🢒 | 🢐 Karnak 🢒 | 🢐 Medusa 🢒 | 🢐 Crystal 🢒 | 🢐 Lockjaw 🢒 | 🢐 Luna 🢒 | 🢐 Quicksilver 🢒
Fantastic Four Vol 1 249;Main Series;Man and Super-Man!;;;1982-12;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Thing 🢒 | 🢐 Human Torch 🢒;"Skrulls | Henkor 🢒 (First appearance) | Skrulls impersonating the X-Men: | ""Cyclops"" | ""Storm"" | ""Colossus"" | ""Nightcrawler"" | 🢐 Gladiator 🢒";🢐 Franklin Richards 🢒
Fantastic Four Vol 1 250;Main Series;X-Factor;;;1983-01;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 The Thing 🢒;Skrull impostors of the X-Men | Cyclops | Storm | Colossus | Nightcrawler/Angel;🢐 Spider-Man 🢒 | 🢐 Captain America 🢒 | 🢐 Gladiator 🢒
Fantastic Four Vol 1 251;Main Series;Into the Negative Zone!;;;1983-02;;John Byrne;John Byrne;Fantastic Four | 🢐 Mister Fantastic 🢒 | 🢐 Invisible Girl 🢒 | 🢐 Human Torch 🢒 | 🢐 The Thing 🢒;🢐 Annihilus 🢒;🢐 Alicia Masters 🢒 | 🢐 Franklin Richards 🢒 | 🢐 Sharon Selleck 🢒 | 🢐 Julie D'Angelo 🢒
Fantastic Four Vol 1 252;Main Series;Cityscape;;;1983-03;;John Byrne;John Byrne;Fantastic Four | 🢐 Mr. Fantastic 🢒 | 🢐 Human Torch 🢒 | 🢐 Invisible Girl 🢒 | 🢐 The Thing 🢒;🢐 Annihilus 🢒 | Ootah (First and only known appearance, dies);🢐 Franklin Richards 🢒 | 🢐 Alicia Masters 🢒
